"","AnimalID","LABID","SEX","HAP","mito.haps","wint.area","feed.area","herd","HI.v.HI.SEAK","MnMx.v.MnMx.CA.OR.WA"
"456","z0196708","z0196708","M","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"457","z0196711","z0196711","M","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"458","z0196722","z0196722","F","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"459","z0196732","z0196732","F","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"460","z0196759","z0196759","M","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"461","z0196765","z0196765","M","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"462","z0196767","z0196767","M","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"463","z0196770","z0196770","M","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"464","z0196772","z0196772","F","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"465","z0196775","z0196775","M","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"466","z0196781","z0196781","M","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"467","z0196793","z0196793","M","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"468","z0196806","z0196806","F","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"469","z0196826","z0196826","M","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"470","z0196832","z0196832","F","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"471","z0196842","z0196842","F","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"472","z0196844","z0196844","F","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"473","z0196845","z0196845","M","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"474","z0196846","z0196846","F","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"475","z0196847","z0196847","F","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"476","z0196851","z0196851","F","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"477","z0196863","z0196863","M","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"478","z0197667","z0197667","F","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"479","z0049019","z0049019","M","F3","MnMito41",NA,NA,NA,NA,NA
"480","z0049020","z0049020","M","F6","MnMito43",NA,NA,NA,NA,NA
"481","z0196744","z0196744","F","F6",NA,NA,"CA.OR.WA",NA,NA,NA
"482","z0195708","z0195708","M","Mnov_2_E6",NA,NA,"CA.OR.WA",NA,NA,NA
"483","z0051808","z0063092","M","E1",NA,"OG","Rus","OG-Rus",NA,NA
"484","z0055996","z0055996","M","A3",NA,"Rev",NA,NA,NA,NA
"485","z0012702","z0012702","M","Aminus","MnMito02","Rev","WA.SBC","Rev-WA.SBC",NA,NA
"486","z0055997","z0055997","M","Aminus",NA,"Rev",NA,NA,NA,NA
"487","z0056034","z0056034","M","E1",NA,"Rev",NA,NA,NA,NA
"488","z0055962","z0055962","M","Aplus",NA,"Rev","Al.Ber","Rev-Al.Ber",NA,NA
"489","z0055903","z0055903","F","E3",NA,"Rev","Al.Ber","Rev-Al.Ber",NA,NA
"490","z0043839","z0043839","F","F2",NA,NA,NA,NA,NA,NA
"491","z0055986","z0055986","F","Aminus",NA,"Rev",NA,NA,NA,NA
"492","z0055963","z0055963","M","Aplus",NA,"Rev",NA,NA,NA,NA
"493","z0055965","z0055965","M","Aplus",NA,"Rev",NA,NA,NA,NA
"494","z0056011","z0056011","M","Aplus",NA,"Rev",NA,NA,NA,NA
"495","z0055947","z0055947","M","E1",NA,"Rev",NA,NA,NA,NA
"496","z0055970","z0055970","M","E3",NA,"Rev",NA,NA,NA,NA
