"LABID","id","Duplicate1","Duplicate2","Duplicate3","X2019.herd","CentAm.Mmex","unmixed","CentAm.inclusive","All.samples","Haplogroup","CentAm.BakerMex","CentAm.AllMex","Herds.BakerMMex","Mmex.MartinezLoustalot","Mmex.REV","fine.herd","CRC.pure.herd","all.2021.data.herds","GTseq.stratum","in.gtseq","wint.area","feed.area","herd","HI.SEAK.v.HI"
56398,"z0056398",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56399,"z0056399",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56400,"z0056400",NA,NA,NA,"Baker.CentAm",NA,NA,NA,NA,NA,"CentAm","CentAm",NA,NA,NA,NA,NA,NA,NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
61973,"z0061973",NA,NA,NA,"MixCM",NA,NA,"CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA.OR","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
61976,"z0061976",NA,NA,NA,"MixCM",NA,NA,"CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
61980,"z0061980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
66792,"z0066792",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
66805,"z0066805",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
101084,"z0101084",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
101085,"z0101085",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
