"","AnimalID","LABID.x","Duplicate1","Duplicate2","Duplicate3","Herd","all.2021.data.herds","SEX","HAP","mito.haps","USE","GTseq.stratum","Optimization.sample","Main.run","Latitude","Longitude","YR","SOURCE","Contact","Notes","Permission.requested","Permission.received","Photo.Need.permission","Photo.Have.permission","LABID.y","prod","val","MS43","MS45","MS51","MS54","times.run","genos.10readsMin","genos.20readsMin","OLD Include on 3rd MiSeq run","NEW Include on 3rd MiSeq run","Use as replicate (from previous PCR1)"
"31",195684,195684,"NA","NA","NA","NA","NA","M","Aplus","NA","CCES","NA","NA","x","48.145600000000002","-125.7152","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195684",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,108,60,"Yes","Yes",NA
"32",195756,195756,"NA","NA","NA","NA","NA","M","F2","NA","CCES","NA","NA","x","43.634900000000002","-124.4098","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195756",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,110,31,"Yes","Yes",NA
"33",195664,195664,"NA","NA","NA","NA","NA","F","Aplus","NA","CCES","NA","NA","x","47.9666","-125.4564","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195664",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,113,72,"Yes","Yes",NA
"34",195670,195670,"NA","NA","NA","NA","NA","F","Aminus","NA","CCES","NA","NA","x","47.945900000000002","-125.5459","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195670",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,117,69,"Yes","Yes",NA
"35",195665,195665,"NA","NA","NA","NA","NA","F","E1_E11","NA","CCES","NA","NA","x","47.956000000000003","-125.53959999999999","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195665",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,118,70,"Yes","Yes",NA
"36",53149,53149,"NA","NA","NA","NA","HI-SEAK","M","Aplus","NA","HI-SEAK","HI-SEAK/NBC","x","x","51.783332999999999","-127.9","2005","BIOPSY-CANADA-SPLASH","Thomas Doniol-Valcroze","NA","NA","Yes, collaborator","NA","PWF","z0053149",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,120,38,"Yes","Yes","x"
"37",195776,195776,"NA","NA","NA","NA","NA","F","Aminus","NA","CCES","NA","NA","x","42.2273","-124.5849","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195776",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,4,125,53,"Yes","Yes",NA
"38",195674,195674,"NA","NA","NA","NA","NA","F","Aminus","NA","CCES","NA","NA","x","47.923999999999999","-125.31610000000001","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195674",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,125,57,"Yes","Yes",NA
"39",195678,195678,"NA","NA","NA","NA","NA","M","Aplus","NA","CCES","NA","NA","x","48.010199999999998","-125.6281","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195678",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,129,78,"Yes","Yes",NA
"40",43599,43599,"NA","NA","NA","NA","HI-GOA","M","Aplus","NA","HI.nonSEAK","HI-GOA","NA","x","54.766666000000001","-150.6","2004","BIOPSY-SWFSC-SPLASH","Jay","NA","44502","44503","NA","SPLASH match","z0043599",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,131,12,"Yes","Yes",NA
