z0187857.merged.sam,z0187857,NA
z0187859.merged.sam,z0187859,NA
z0187911.merged.sam,z0187911,NA
z0195258.merged.sam,z0195258,NA
z0195643.merged.sam,z0195643,NA
z0195647.merged.sam,z0195647,NA
z0195648.merged.sam,z0195648,NA
z0195649.merged.sam,z0195649,NA
z0195653.merged.sam,z0195653,NA
z0195655.merged.sam,z0195655,NA
z0195657.merged.sam,z0195657,NA
z0195659.merged.sam,z0195659,NA
z0195663.merged.sam,z0195663,NA
z0195664.merged.sam,z0195664,NA
z0195665.merged.sam,z0195665,NA
z0195668.merged.sam,z0195668,NA
z0195670.merged.sam,z0195670,NA
z0195671.merged.sam,z0195671,NA
z0195672.merged.sam,z0195672,NA
z0195673.merged.sam,z0195673,NA
z0195674.merged.sam,z0195674,NA
z0195675.merged.sam,z0195675,NA
z0195678.merged.sam,z0195678,NA
z0195682.merged.sam,z0195682,NA
z0195683.merged.sam,z0195683,NA
z0195684.merged.sam,z0195684,NA
z0195688.merged.sam,z0195688,NA
z0195689.merged.sam,z0195689,NA
z0195691.merged.sam,z0195691,NA
z0195693.merged.sam,z0195693,NA
z0195705.merged.sam,z0195705,NA
z0195736.merged.sam,z0195736,NA
z0195751.merged.sam,z0195751,NA
z0195755.merged.sam,z0195755,NA
z0195756.merged.sam,z0195756,NA
z0195762.merged.sam,z0195762,NA
z0195767.merged.sam,z0195767,NA
z0195770.merged.sam,z0195770,NA
z0195771.merged.sam,z0195771,NA
z0195772.merged.sam,z0195772,NA
z0195773.merged.sam,z0195773,NA
z0195776.merged.sam,z0195776,NA
z0195777.merged.sam,z0195777,NA
z0195778.merged.sam,z0195778,NA
z0195784.merged.sam,z0195784,NA
z0195791.merged.sam,z0195791,NA
z0196805.merged.sam,z0196805,NA
z0196810.merged.sam,z0196810,NA
z0196811.merged.sam,z0196811,NA
z0196828.merged.sam,z0196828,NA
z0196829.merged.sam,z0196829,NA
z0196838.merged.sam,z0196838,NA
z0196839.merged.sam,z0196839,NA
z0196846.merged.sam,z0196846,NA
z0196847.merged.sam,z0196847,NA
z0196851.merged.sam,z0196851,NA
z0196887.merged.sam,z0196887,NA
z0196891.merged.sam,z0196891,NA
z0196894.merged.sam,z0196894,NA
z0197660.merged.sam,z0197660,NA
z0197664.merged.sam,z0197664,NA
z0197682.merged.sam,z0197682,NA
z0207777.merged.sam,z0207777,NA
z0207778.merged.sam,z0207778,NA
