"","locus","genos","num.haps"
"305","Mnov_gtseq_56",120,3
"306","Mnov_gtseq_57",118,3
"307","Mnov_gtseq_58",94,3
"308","Mnov_gtseq_6",105,3
"309","Mnov_gtseq_60",121,3
"310","Mnov_gtseq_61",131,3
"311","Mnov_gtseq_63",115,3
"312","Mnov_gtseq_64",130,3
"313","Mnov_gtseq_65",128,3
"314","Mnov_gtseq_66",127,3
"315","Mnov_gtseq_67",128,3
"316","Mnov_gtseq_68",114,3
"317","Mnov_gtseq_69",128,3
"318","Mnov_gtseq_70",125,3
"319","Mnov_gtseq_71",124,3
"320","Mnov_gtseq_72",130,3
"321","Mnov_gtseq_73",129,3
"322","Mnov_gtseq_74",131,2
"323","Mnov_gtseq_75",127,6
"324","Mnov_gtseq_8",113,3
"325","Mnov_gtseq_80",115,3
"326","Mnov_gtseq_81",105,3
"327","Mnov_gtseq_82",128,3
"328","Mnov_gtseq_83",129,3
"329","Mnov_gtseq_84",131,3
"330","Mnov_gtseq_86",131,3
"331","Mnov_gtseq_88",110,3
"332","Mnov_gtseq_90",130,3
"333","Mnov_gtseq_91",120,3
"334","Mnov_gtseq_92",113,3
"335","Mnov_gtseq_93",126,3
"336","Mnov_gtseq_94",115,3
"337","Mnov_gtseq_97",116,3
"338","Mnov_gtseq_98",129,3
