LABID,GTseq.val,GTseq.prod,RunMS43,RunMS45.90s,RunMS51,RunMS54,RunMS58
z0196738,NA,252,NA,NA,269,NA,NA
z0196830,NA,280,NA,NA,271,NA,NA
z0053758,NA,244,NA,NA,274,NA,NA
z0029864,NA,287,NA,NA,277,NA,NA
z0108489,NA,323,NA,NA,277,NA,NA
z0196800,NA,271,NA,NA,278,NA,NA
z0040345,306,NA,NA,NA,282,NA,NA
z0195726,192,NA,NA,NA,283,NA,NA
z0056392,NA,NA,1,278,286,NA,NA
z0016578,NA,NA,NA,NA,286,NA,NA
z0196832,NA,71,NA,NA,288,NA,NA
z0196741,NA,100,NA,NA,291,NA,NA
z0187868b,NA,NA,NA,NA,291,NA,NA
z0040363,NA,NA,NA,NA,292,NA,NA
z0056395,NA,323,NA,NA,295,NA,NA
z0196755,NA,246,NA,NA,297,NA,NA
z0133302,NA,NA,66,NA,298,NA,NA
z0196793,NA,300,NA,NA,299,NA,NA
z0196886,NA,245,NA,NA,299,NA,NA
z0197659,NA,7,NA,NA,299,NA,NA
z0196795,NA,269,NA,NA,300,NA,NA
z0029829,NA,NA,NA,NA,300,NA,NA
z0197671b,NA,NA,NA,NA,300,NA,NA
z0197662,310,NA,NA,NA,303,NA,NA
z0053844,NA,244,NA,NA,303,NA,NA
z0196762,NA,216,NA,NA,304,NA,NA
z0045342,NA,NA,NA,NA,304,NA,NA
z0195697,NA,268,NA,NA,305,NA,NA
z0196804,NA,NA,NA,NA,305,NA,NA
z0056386,NA,243,NA,NA,306,NA,NA
z0196770,NA,202,NA,NA,306,NA,NA
z0196833,NA,224,NA,NA,306,NA,NA
z0108508,NA,1,NA,NA,307,NA,NA
z0196708,NA,136,NA,NA,307,NA,NA
z0045331,NA,NA,255,288,309,NA,NA
z0178348,NA,NA,NA,NA,309,NA,NA
z0187906,NA,NA,NA,NA,309,NA,NA
z0197673,NA,306,NA,NA,313,NA,NA
z0195729,NA,253,NA,NA,315,NA,NA
z0056393,NA,NA,NA,NA,315,NA,NA
z0196737,NA,220,NA,NA,316,NA,NA
z0051404,NA,NA,NA,NA,316,NA,NA
z0175937,NA,NA,NA,NA,316,NA,NA
z0196721,NA,NA,NA,NA,316,NA,NA
z0196730,263,NA,NA,NA,317,NA,NA
z0195727,NA,251,NA,NA,317,NA,NA
z0196755b,NA,NA,NA,NA,317,NA,NA
z0107101,NA,330,NA,NA,318,NA,NA
z0196750,NA,135,NA,NA,318,NA,NA
z0196759,NA,284,NA,NA,318,NA,NA
z0196728b,NA,NA,NA,NA,318,NA,NA
z0197658b,NA,NA,NA,NA,318,NA,NA
z0053843,NA,1,NA,NA,319,NA,NA
z0107080,NA,47,NA,NA,319,NA,NA
z0196773,NA,218,NA,NA,319,NA,NA
z0056378b,NA,NA,NA,NA,319,NA,NA
z0196762b,NA,NA,NA,NA,319,NA,NA
z0051899,NA,1,NA,NA,320,NA,NA
z0196753,NA,221,NA,NA,320,NA,NA
z0045337,NA,184,NA,NA,321,NA,NA
z0045358,NA,276,NA,NA,321,NA,NA
z0056378,NA,314,NA,NA,321,NA,NA
z0056382,NA,324,NA,NA,321,NA,NA
z0195644,NA,110,NA,NA,321,295,NA
z0196732,NA,281,NA,NA,321,NA,NA
z0196744,NA,282,NA,NA,321,NA,NA
z0196748,NA,278,NA,NA,321,NA,NA
z0051968,NA,NA,NA,NA,321,NA,NA
z0045332,NA,288,NA,NA,322,NA,NA
z0051185,NA,322,NA,NA,322,NA,NA
z0195700,NA,287,NA,NA,322,NA,NA
