AnimalID,LABID.x,Duplicate1,Duplicate2,Duplicate3,Herd,all.2021.data.herds,SEX,HAP,mito.haps,USE,GTseq.stratum,Optimization.sample,Main.run,Latitude,Longitude,YR,SOURCE,Contact,Notes,Permission.requested,Permission.received,Photo.Need.permission,Photo.Have.permission,LABID.y,prod,val,MS43,MS45,MS51,MS54,times.run,genos.10readsMin,genos.20readsMin,Include on 3rd MiSeq run
175914,175914,NA,NA,NA,NA,MnMx-CA/OR/WA/SBC,F,E6,NA,NA,MnMx-CA/OR/WA/SBC,NA,x,38.2735,-123.102833,2016,BIOPSY-CASCADIA,NA,Added Nov 29,NA,NA,NA,"Nico, FIBB",z0175914,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
195652,195652,NA,NA,NA,NA,MnMx-CA/OR/WA/SBC,M,Aplus,NA,CCES,MnMx-CA/OR/WA/SBC,x,x,48.4254,-124.9691,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,Manuel P√©rez Castillo-PUBLIC,z0195652,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
195660,195660,195666,NA,NA,NA,MnMx-CA/OR/WA/SBC,M,Aplus,NA,CCES,MnMx-CA/OR/WA/SBC,NA,x,48.0335,-125.3974,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,Nico,z0195660,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
195661,195661,NA,NA,NA,NA,MnMx-CA/OR/WA/SBC,M,Aplus,NA,CCES,MnMx-CA/OR/WA/SBC,NA,x,48.0303,-125.3868,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,Nico,z0195661,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
195753,195753,NA,NA,NA,NA,MnMx-CA/OR/WA/SBC,F,E6,NA,CCES,MnMx-CA/OR/WA/SBC,NA,x,43.1329,-124.725,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,Vallarta Adventures,z0195753,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
195760,195760,NA,NA,NA,NA,MnMx-CA/OR/WA/SBC,M,E1_E11,NA,CCES,MnMx-CA/OR/WA/SBC,NA,x,43.6898,-124.3614,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,FIBB,z0195760,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
207776,207776,Was HW20210902-EK-01,NA,NA,NA,MnMx-WA/SBC,M,Aplus,NA,NA,MnMx-CA/OR/WA/SBC,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIBB,z0207776,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
43678,43678,NA,NA,NA,NA,MnMx-GOA,F,E7,NA,NA,MnMx-GOA,NA,x,56.616666,-152.4,2004,BIOPSY-SWFSC-SPLASH,NA,bonus,NA,NA,NA,SPLASH match,z0043678,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
56052,56052,NA,NA,NA,NA,MnMx-GOA,M,E7,NA,NA,MnMx-GOA,NA,x,20.683333,-105.45,2004,SLOUGHED-MEXICO-SPLASH,NA,bonus,NA,NA,NA,SPLASH match,z0056052,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
146087,174004,146087,NA,NA,NA,MnMx-SEAK,F,Aplus,NA,NA,MnMx-SEAK,NA,x,58.815607,-136.125459,2015,SLOUGHED-AK-GBNP,Chris Gabriele,NA,NA,"Yes, collaborator",NA,Nico,z0146087,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
46925,203524,178357,46925,91060,NA,MnMx-SEAK,M,Aminus,NA,NA,MnMx-SEAK,NA,x,58.742576,-136.051747,2019,SLOUGHED-AK-GBNP,Chris Gabriele,NA,NA,"Yes, collaborator",NA,FIBB,z0046925,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
195685,195685,NA,NA,NA,NA,NA,M,Aminus,NA,CCES,NA,NA,x,48.1778,-125.6886,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,z0195685,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,0,0,No
