"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3","num.alleles.pos4","num.alleles.pos5"
"208","Mnov_gtseq_402",308,3,2,1,1,1,1
"209","Mnov_gtseq_405",309,6,2,2,2,1,1
"210","Mnov_gtseq_406",282,3,2,2,1,1,1
"211","Mnov_gtseq_407",304,6,2,2,1,1,1
"212","Mnov_gtseq_41",310,3,2,1,1,1,1
"213","Mnov_gtseq_410",300,3,2,2,1,1,1
"214","Mnov_gtseq_413",310,3,2,2,1,1,1
"215","Mnov_gtseq_415",302,3,2,1,1,1,1
"216","Mnov_gtseq_416",173,2,2,1,1,1,1
"217","Mnov_gtseq_417",261,3,2,2,2,1,1
"218","Mnov_gtseq_42",310,3,2,1,1,1,1
"219","Mnov_gtseq_420",262,3,2,1,1,1,1
"220","Mnov_gtseq_421",267,6,2,2,3,1,1
"221","Mnov_gtseq_426",310,2,2,1,1,1,1
"222","Mnov_gtseq_43",310,3,2,1,1,1,1
"223","Mnov_gtseq_431",223,3,2,1,1,1,1
"224","Mnov_gtseq_434",310,3,2,2,1,1,1
"225","Mnov_gtseq_437",302,5,2,2,1,1,1
"226","Mnov_gtseq_438",251,3,2,1,1,1,1
"227","Mnov_gtseq_44",257,4,2,2,1,1,1
"228","Mnov_gtseq_440",310,5,2,2,2,1,1
"229","Mnov_gtseq_441",307,3,2,2,1,1,1
"230","Mnov_gtseq_442",209,3,2,1,1,1,1
"231","Mnov_gtseq_444",306,5,2,2,1,1,1
"232","Mnov_gtseq_445",310,3,2,1,1,1,1
"233","Mnov_gtseq_446",304,3,2,1,1,1,1
"234","Mnov_gtseq_447",307,3,2,1,1,1,1
"235","Mnov_gtseq_448",292,3,2,1,1,1,1
"236","Mnov_gtseq_45",309,3,2,1,1,1,1
"237","Mnov_gtseq_451",310,6,2,2,1,1,1
"238","Mnov_gtseq_452",309,6,2,2,1,1,1
"239","Mnov_gtseq_454",294,3,2,1,1,1,1
"240","Mnov_gtseq_46",310,6,2,2,1,1,1
"241","Mnov_gtseq_463",299,6,2,2,2,1,1
