"","ids.1","ids.2","strata.1","strata.2","mismatch.loci","num.loci.genotyped","num.loci.shared","prop.loci.shared"
"32","z0012201","z0042288","Default","Default","Mnov_gtseq_10, Mnov_gtseq_130, Mnov_gtseq_143, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_270, Mnov_gtseq_288, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_371, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_514, Mnov_gtseq_84, Mnov_gtseq_86",171,154,0.900584795321637
"33","z0030424","z0067213","Default","Default","Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_170, Mnov_gtseq_209, Mnov_gtseq_22, Mnov_gtseq_235, Mnov_gtseq_261, Mnov_gtseq_288, Mnov_gtseq_318, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_68, Mnov_gtseq_84",206,185,0.898058252427185
"34","z0025439","z0062886","Default","Default","Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_445, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_68, Mnov_gtseq_84",223,199,0.89237668161435
"35","z0025439","z0067213","Default","Default","Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_261, Mnov_gtseq_288, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_445, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_68, Mnov_gtseq_84",235,209,0.88936170212766
"36","z0025439","z0030475","Default","Default","Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_68, Mnov_gtseq_84",206,183,0.888349514563107
"37","z0017317","z0030475","Default","Default","Mnov_gtseq_10, Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_415, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_68, Mnov_gtseq_84",198,175,0.883838383838384
"38","z0011162","z0062886","Default","Default","Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_445, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_68, Mnov_gtseq_84",206,182,0.883495145631068
"39","z0011162","z0030475","Default","Default","Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_68, Mnov_gtseq_84",197,174,0.883248730964467
"40","z0017317","z0062886","Default","Default","Mnov_gtseq_10, Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_318, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_415, Mnov_gtseq_441, Mnov_gtseq_445, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_68, Mnov_gtseq_84",211,186,0.881516587677725
"41","z0017317","z0067213","Default","Default","Mnov_gtseq_10, Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_318, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_415, Mnov_gtseq_441, Mnov_gtseq_445, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_68, Mnov_gtseq_84",218,192,0.880733944954128
"42","z0011162","z0067213","Default","Default","Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_445, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_68, Mnov_gtseq_84",209,184,0.880382775119617
"43","z0042288","z0062886","Default","Default","Mnov_gtseq_10, Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_270, Mnov_gtseq_288, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_398, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_68, Mnov_gtseq_84",167,145,0.868263473053892
"44","z0042288","z0067213","Default","Default","Mnov_gtseq_10, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_270, Mnov_gtseq_288, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_398, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_68, Mnov_gtseq_84",170,147,0.864705882352941
"45","z0030475","z0042288","Default","Default","Mnov_gtseq_10, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_270, Mnov_gtseq_288, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_398, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_68, Mnov_gtseq_84",167,144,0.862275449101796
