"","locus","genos","num.unique.genos"
"231","Mnov_gtseq_421",129,6
"232","Mnov_gtseq_424",135,3
"233","Mnov_gtseq_426",139,2
"234","Mnov_gtseq_43",143,3
"235","Mnov_gtseq_431",70,6
"236","Mnov_gtseq_434",142,3
"237","Mnov_gtseq_437",135,4
"238","Mnov_gtseq_438",124,3
"239","Mnov_gtseq_44",123,4
"240","Mnov_gtseq_440",140,5
"241","Mnov_gtseq_441",134,3
"242","Mnov_gtseq_442",112,3
"243","Mnov_gtseq_444",134,5
"244","Mnov_gtseq_445",142,3
"245","Mnov_gtseq_446",133,3
"246","Mnov_gtseq_447",134,3
"247","Mnov_gtseq_448",129,3
"248","Mnov_gtseq_45",137,3
"249","Mnov_gtseq_451",140,6
"250","Mnov_gtseq_452",137,6
"251","Mnov_gtseq_454",134,3
"252","Mnov_gtseq_46",140,6
"253","Mnov_gtseq_462",130,4
"254","Mnov_gtseq_463",132,6
"255","Mnov_gtseq_465",120,3
"256","Mnov_gtseq_468",140,3
"257","Mnov_gtseq_47",136,3
"258","Mnov_gtseq_470",140,3
"259","Mnov_gtseq_471",125,3
"260","Mnov_gtseq_472",136,3
"261","Mnov_gtseq_473",133,6
"262","Mnov_gtseq_474",72,1
"263","Mnov_gtseq_475",137,24
"264","Mnov_gtseq_477",142,3
"265","Mnov_gtseq_478",139,3
"266","Mnov_gtseq_479",141,3
"267","Mnov_gtseq_48",137,3
"268","Mnov_gtseq_50",136,10
"269","Mnov_gtseq_502",138,3
"270","Mnov_gtseq_504",141,5
"271","Mnov_gtseq_506",139,3
"272","Mnov_gtseq_507",135,3
"273","Mnov_gtseq_509",133,3
"274","Mnov_gtseq_51",135,3
"275","Mnov_gtseq_511",128,3
"276","Mnov_gtseq_513",142,3
"277","Mnov_gtseq_514",140,5
"278","Mnov_gtseq_515",128,6
"279","Mnov_gtseq_517",126,3
"280","Mnov_gtseq_518",139,6
"281","Mnov_gtseq_520",133,3
"282","Mnov_gtseq_521",134,3
"283","Mnov_gtseq_522",142,3
"284","Mnov_gtseq_523",139,3
"285","Mnov_gtseq_526",45,3
"286","Mnov_gtseq_529",110,3
"287","Mnov_gtseq_53",141,3
"288","Mnov_gtseq_532",134,13
"289","Mnov_gtseq_533",135,3
"290","Mnov_gtseq_536",73,6
"291","Mnov_gtseq_539",122,4
"292","Mnov_gtseq_54",139,3
"293","Mnov_gtseq_541",149,3
"294","Mnov_gtseq_543",137,5
"295","Mnov_gtseq_544",138,3
"296","Mnov_gtseq_545",134,3
"297","Mnov_gtseq_546",127,7
"298","Mnov_gtseq_547",141,3
"299","Mnov_gtseq_548",136,3
"300","Mnov_gtseq_549",134,6
"301","Mnov_gtseq_55",131,8
"302","Mnov_gtseq_550",127,3
"303","Mnov_gtseq_553",109,2
"304","Mnov_gtseq_56",140,4
"305","Mnov_gtseq_57",140,6
"306","Mnov_gtseq_58",132,6
"307","Mnov_gtseq_6",136,3
"308","Mnov_gtseq_60",138,3
"309","Mnov_gtseq_61",142,6
"310","Mnov_gtseq_63",133,3
"311","Mnov_gtseq_64",142,7
"312","Mnov_gtseq_65",142,3
"313","Mnov_gtseq_66",138,3
"314","Mnov_gtseq_67",143,3
"315","Mnov_gtseq_68",106,5
"316","Mnov_gtseq_69",141,3
"317","Mnov_gtseq_70",139,3
"318","Mnov_gtseq_71",139,6
"319","Mnov_gtseq_72",141,6
"320","Mnov_gtseq_73",142,3
"321","Mnov_gtseq_74",141,5
"322","Mnov_gtseq_75",137,6
"323","Mnov_gtseq_79",137,2
"324","Mnov_gtseq_8",135,3
"325","Mnov_gtseq_80",135,3
"326","Mnov_gtseq_81",136,3
"327","Mnov_gtseq_82",139,5
"328","Mnov_gtseq_83",142,3
"329","Mnov_gtseq_84",141,6
"330","Mnov_gtseq_86",141,3
"331","Mnov_gtseq_88",127,3
"332","Mnov_gtseq_90",146,3
"333","Mnov_gtseq_91",142,3
"334","Mnov_gtseq_92",140,6
"335","Mnov_gtseq_93",139,3
"336","Mnov_gtseq_94",141,3
"337","Mnov_gtseq_97",139,7
"338","Mnov_gtseq_98",140,5
