"","locus","genos","num.haps"
"232","Mnov_gtseq_424",2,1
"233","Mnov_gtseq_426",2,1
"234","Mnov_gtseq_43",2,1
"235","Mnov_gtseq_431",1,1
"236","Mnov_gtseq_434",2,1
"237","Mnov_gtseq_438",1,1
"238","Mnov_gtseq_44",1,1
"239","Mnov_gtseq_440",2,1
"240","Mnov_gtseq_441",2,1
"241","Mnov_gtseq_442",0,0
"242","Mnov_gtseq_444",1,1
"243","Mnov_gtseq_445",1,1
"244","Mnov_gtseq_446",2,1
"245","Mnov_gtseq_447",1,1
"246","Mnov_gtseq_448",2,1
"247","Mnov_gtseq_45",2,1
"248","Mnov_gtseq_451",3,1
"249","Mnov_gtseq_452",2,1
"250","Mnov_gtseq_454",1,1
"251","Mnov_gtseq_46",2,1
"252","Mnov_gtseq_461",1,1
"253","Mnov_gtseq_462",1,1
"254","Mnov_gtseq_463",1,1
"255","Mnov_gtseq_465",1,1
"256","Mnov_gtseq_468",3,2
"257","Mnov_gtseq_47",2,1
"258","Mnov_gtseq_470",2,1
"259","Mnov_gtseq_471",1,1
"260","Mnov_gtseq_472",2,1
"261","Mnov_gtseq_473",1,1
"262","Mnov_gtseq_475",2,1
"263","Mnov_gtseq_477",1,1
"264","Mnov_gtseq_478",1,1
"265","Mnov_gtseq_479",2,1
"266","Mnov_gtseq_48",2,1
"267","Mnov_gtseq_50",2,1
"268","Mnov_gtseq_502",2,1
"269","Mnov_gtseq_504",2,1
"270","Mnov_gtseq_506",1,1
"271","Mnov_gtseq_507",1,1
"272","Mnov_gtseq_509",1,1
"273","Mnov_gtseq_51",2,1
"274","Mnov_gtseq_511",1,1
"275","Mnov_gtseq_513",3,1
"276","Mnov_gtseq_514",1,1
"277","Mnov_gtseq_515",1,1
"278","Mnov_gtseq_516",0,0
"279","Mnov_gtseq_517",2,1
"280","Mnov_gtseq_518",2,1
"281","Mnov_gtseq_520",1,1
"282","Mnov_gtseq_521",1,1
"283","Mnov_gtseq_522",1,1
"284","Mnov_gtseq_523",2,1
"285","Mnov_gtseq_526",1,1
"286","Mnov_gtseq_529",1,1
"287","Mnov_gtseq_53",2,1
"288","Mnov_gtseq_532",1,1
"289","Mnov_gtseq_533",1,1
"290","Mnov_gtseq_536",1,1
"291","Mnov_gtseq_539",2,1
"292","Mnov_gtseq_54",2,1
"293","Mnov_gtseq_541",3,1
"294","Mnov_gtseq_543",2,1
"295","Mnov_gtseq_544",2,1
"296","Mnov_gtseq_545",2,1
"297","Mnov_gtseq_546",1,1
"298","Mnov_gtseq_547",2,1
"299","Mnov_gtseq_548",1,1
"300","Mnov_gtseq_549",2,1
"301","Mnov_gtseq_55",3,2
"302","Mnov_gtseq_550",1,1
"303","Mnov_gtseq_553",1,1
"304","Mnov_gtseq_56",1,1
"305","Mnov_gtseq_57",2,1
"306","Mnov_gtseq_58",2,1
"307","Mnov_gtseq_6",2,1
"308","Mnov_gtseq_60",2,1
"309","Mnov_gtseq_61",3,1
"310","Mnov_gtseq_63",2,1
"311","Mnov_gtseq_64",2,1
"312","Mnov_gtseq_65",2,1
"313","Mnov_gtseq_66",1,1
"314","Mnov_gtseq_67",3,2
"315","Mnov_gtseq_68",0,0
"316","Mnov_gtseq_69",2,1
"317","Mnov_gtseq_70",2,1
"318","Mnov_gtseq_71",2,1
"319","Mnov_gtseq_72",2,1
"320","Mnov_gtseq_73",2,1
"321","Mnov_gtseq_74",2,1
"322","Mnov_gtseq_75",2,1
"323","Mnov_gtseq_8",1,1
"324","Mnov_gtseq_80",1,1
"325","Mnov_gtseq_81",1,1
"326","Mnov_gtseq_82",2,1
"327","Mnov_gtseq_83",3,2
"328","Mnov_gtseq_84",2,1
"329","Mnov_gtseq_86",2,1
"330","Mnov_gtseq_88",1,1
"331","Mnov_gtseq_90",3,1
"332","Mnov_gtseq_91",2,1
"333","Mnov_gtseq_92",3,2
"334","Mnov_gtseq_93",1,1
"335","Mnov_gtseq_94",2,1
"336","Mnov_gtseq_97",2,1
"337","Mnov_gtseq_98",2,1
