"","labID","genos","missing"
"470","z0195748",320,2
"471","z0195749",7,315
"472","z0195751",317,5
"473","z0195754",1,321
"474","z0195755",317,5
"475","z0195756",318,4
"476","z0195757",1,321
"477","z0195759",2,320
"478","z0195762",316,6
"479","z0195763",1,321
"480","z0195764",3,319
"481","z0195766",1,321
"482","z0195767",319,3
"483","z0195769",1,321
"484","z0195770",165,157
"485","z0195771",320,2
"486","z0195773",315,7
"487","z0195775",1,321
"488","z0195776",305,17
"489","z0195777",311,11
"490","z0195778",317,5
"491","z0195779",1,321
"492","z0195780",2,320
"493","z0195781",5,317
"494","z0195782",219,103
"495","z0195783",6,316
"496","z0195784",319,3
"497","z0195786",3,319
"498","z0195787",1,321
"499","z0195791",319,3
"500","z0196686",319,3
"501","z0196687",320,2
"502","z0196689",320,2
"503","z0196690",312,10
"504","z0196691",292,30
"505","z0196692",315,7
"506","z0196693",313,9
"507","z0196694",316,6
"508","z0196707",319,3
"509","z0196709",311,11
"510","z0196710",319,3
"511","z0196711",300,22
"512","z0196713",302,20
"513","z0196714",319,3
"514","z0196715",244,78
"515","z0196718",318,4
"516","z0196719",320,2
"517","z0196721",288,34
"518","z0196722",316,6
"519","z0196723",233,89
"520","z0196724",253,69
"521","z0196725",319,3
"522","z0196726",312,10
"523","z0196727",318,4
"524","z0196728",318,4
"525","z0196729",312,10
"526","z0196730",310,12
"527","z0196731",319,3
"528","z0196733",269,53
"529","z0196734",314,8
"530","z0196736",318,4
"531","z0196737",304,18
"532","z0196738",266,56
"533","z0196739",262,60
"534","z0196740",286,36
"535","z0196741",267,55
"536","z0196742",318,4
"537","z0196743",312,10
"538","z0196744",312,10
"539","z0196746",313,9
"540","z0196747",307,15
"541","z0196748",316,6
"542","z0196749",317,5
"543","z0196750",302,20
"544","z0196751",320,2
"545","z0196752",320,2
"546","z0196753",315,7
"547","z0196754",321,1
"548","z0196755",315,7
"549","z0196756",319,3
"550","z0196757",317,5
"551","z0196758",315,7
"552","z0196759",310,12
"553","z0196760",318,4
"554","z0196761",311,11
"555","z0196762",312,10
"556","z0196763",315,7
"557","z0196764",319,3
"558","z0196765",317,5
"559","z0196766",320,2
"560","z0196767",311,11
"561","z0196768",314,8
"562","z0196769",318,4
"563","z0196770",291,31
"564","z0196772",318,4
"565","z0196773",309,13
"566","z0196774",320,2
"567","z0196775",314,8
"568","z0196777",315,7
"569","z0196778",314,8
"570","z0196781",315,7
"571","z0196783",318,4
"572","z0196792",278,44
"573","z0196793",303,19
"574","z0196794",313,9
"575","z0196795",300,22
"576","z0196800",274,48
"577","z0196804",271,51
"578","z0196805",317,5
"579","z0196806",222,100
"580","z0196809",319,3
"581","z0196810",317,5
"582","z0196811",317,5
"583","z0196812",265,57
"584","z0196822",317,5
"585","z0196823",319,3
"586","z0196824",318,4
"587","z0196825",317,5
"588","z0196826",312,10
"589","z0196828",318,4
"590","z0196829",320,2
"591","z0196830",287,35
"592","z0196831",313,9
"593","z0196832",244,78
"594","z0196833",318,4
"595","z0196834",232,90
"596","z0196835",319,3
"597","z0196840",12,310
"598","z0196841",252,70
"599","z0196842",258,64
"600","z0196843",235,87
"601","z0196844",246,76
"602","z0196846",315,7
"603","z0196847",320,2
"604","z0196848",319,3
"605","z0196849",317,5
"606","z0196850",247,75
"607","z0196851",319,3
"608","z0196852",316,6
"609","z0196854",318,4
"610","z0196855",318,4
"611","z0196856",317,5
"612","z0196858",295,27
"613","z0196859",319,3
"614","z0196860",318,4
"615","z0196861",318,4
"616","z0196862",317,5
"617","z0196863",312,10
"618","z0196864",315,7
"619","z0196865",314,8
"620","z0196886",279,43
"621","z0196887",317,5
