,AnimalID,LABID.x,Duplicate1,Duplicate2,Duplicate3,Herd,all.2021.data.herds,SEX,HAP,mito.haps,USE,GTseq.stratum,Optimization.sample,Main.run,Latitude,Longitude,YR,SOURCE,Contact,Notes,Permission.requested,Permission.received,Photo.Need.permission,Photo.Have.permission,LABID,prod,val,MS43,MS45,MS51,MS54,times.run,genos.10readsMin,genos.20readsMin,Status,Concentration,Dried.down
479,40334,40334,NA,NA,NA,NA,HI,M,Aplus,NA,ddRAD.HI,HI,x,x,20.783333,-156.733333,2004,BIOPSY-HIHWNMS,Dave Mattila,NA,NA,NA,NA,NA - not assigned to herd,z0040334,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,327,322,Complete,25.21,NA
624,40345,40345,NA,NA,NA,NA,HI,M,Aplus,NA,ddRAD.HI,HI,x,x,20.8,-156.716666,2004,BIOPSY-HIHWNMS,Dave Mattila,NA,NA,NA,NA,NA - not assigned to herd,z0040345,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,333,326,Complete,31.03,NA
419,40357,40357,NA,NA,NA,NA,HI-SEAK/NBC,M,E2,NA,NA,HI-SEAK/NBC,NA,x,20.783333,-156.616666,2004,BIOPSY-HIHWNMS,Dave Mattila,Added 1.10.22,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0040357,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,324,311,Complete,30.665,NA
304,40363,40363,NA,NA,NA,NA,HI,M,Aminus,NA,ddRAD.HI,HI,x,x,20.8,-156.733333,2004,BIOPSY-HIHWNMS,Dave Mattila,NA,NA,NA,NA,NA - not assigned to herd,z0040363,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,295,258,Complete,94.83,NA
631,40364,40364,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,ddRAD.HI,HI-SEAK/NBC,x,x,20.866666,-156.766666,2004,BIOPSY-HIHWNMS,Dave Mattila,NA,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0040364,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,334,334,Complete,37.48,NA
10,40377,40377,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,20.816666,-156.683333,2004,BIOPSY-HIHWNMS,NA,bonus,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0040377,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,Abandoned,NA,NA
176,40387,40387,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,19.716666,-156.066666,2003,BIOPSY-HIHWNMS,NA,bonus,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0040387,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,184,126,In.Progress,NA,NA
317,40403,40403,NA,NA,NA,NA,HI-SEAK/NBC,M,Aplus,NA,NA,HI-SEAK/NBC,NA,x,20.75,-156.633333,2004,BIOPSY-HIHWNMS,Dave Mattila,Added 1.10.22,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0040403,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,300,277,Complete,57.3682,NA
649,40439,40439,NA,NA,NA,NA,HI-SEAK/NBC,M,E2,NA,ddRAD.HI,HI-SEAK/NBC,x,x,21.05,-157.233333,2004,BIOPSY-HIHWNMS,Dave Mattila,NA,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0040439,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,337,335,Complete,24.8,NA
54,40451,40451,NA,NA,NA,NA,HI-SEAK/NBC,F,E2,NA,NA,HI-SEAK/NBC,NA,x,21.116666,-157.416666,2004,BIOPSY-HIHWNMS,NA,bonus,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0040451,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,Abandoned,NA,NA
292,40465,40465,40466,NA,NA,NA,HI-SEAK/NBC,F,Aminus,NA,NA,HI-SEAK/NBC,NA,x,21.383333,-158.266666,2004,BIOPSY-HIHWNMS,Dave Mattila,Added 1.10.22,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0040465,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,289,258,Complete,31.1204,NA
347,40513,40513,NA,NA,NA,NA,MnMx-SEAK,M,Aminus,NA,NA,MnMx-SEAK,NA,x,57.016666,-135.533333,2003,BIOPSY-UAS-STRALEY,Jan Straley,NA,NA,"Yes, collaborator",NA,FIBB,z0040513,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,4,311,269,Complete,18.224,NA
121,40960,40960,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,20.716666,-156.683333,2004,BIOPSY-HIHWNMS,NA,bonus,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0040960,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,36,1,Abandoned,NA,NA
362,40961,40961,NA,NA,NA,NA,HI-AI.Ber,M,Aminus,NA,HI.nonSEAK,HI-AI.Ber,NA,x,20.916666,-156.75,2004,BIOPSY-HIHWNMS,Dave Mattila,NA,NA,NA,NA,SPLASH match,z0040961,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,316,287,Complete,11.76,NA
319,40985,40985,NA,NA,NA,NA,HI,M,F2,NA,ddRAD.HI,HI,x,x,20.783333,-156.716666,2004,BIOPSY-HIHWNMS,Dave Mattila,NA,NA,NA,NA,NA - not assigned to herd,z0040985,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,301,274,Complete,64.87,NA
644,41026,41026,NA,NA,NA,NA,HI-SEAK/NBC,F,Aplus,NA,NA,HI-SEAK/NBC,NA,x,20.866666,-156.8,2004,BIOPSY-HIHWNMS,NA,bonus,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0041026,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,336,335,Complete,NA,NA
307,41051,41051,NA,NA,NA,NA,HI-AI.Ber,M,E5,NA,HI.nonSEAK,HI-AI.Ber,x,x,21.866666,-156.5,2004,BIOPSY-HIHWNMS,Dave Mattila,NA,NA,NA,NA,SPLASH match,z0041051,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,3,297,235,Complete,7.93,NA
