"","id","stratum","num.loci.genotyped","num.loci.missing.genotypes","pct.loci.missing.genotypes","pct.loci.homozygous"
"118","z0045329","Default",288,0,0,0.538194444444444
"119","z0045331","Default",273,15,0.0520833333333333,0.510416666666667
"120","z0045332","Default",283,5,0.0173611111111111,0.520833333333333
"121","z0045333","Default",268,20,0.0694444444444444,0.493055555555556
"122","z0045337","Default",276,12,0.0416666666666667,0.5
"123","z0045342","Default",250,38,0.131944444444444,0.496527777777778
"124","z0045347","Default",285,3,0.0104166666666667,0.53125
"125","z0045350","Default",287,1,0.00347222222222222,0.541666666666667
"126","z0045352","Default",278,10,0.0347222222222222,0.607638888888889
"127","z0045357","Default",288,0,0,0.565972222222222
"128","z0045358","Default",285,3,0.0104166666666667,0.513888888888889
"129","z0045370","Default",286,2,0.00694444444444444,0.545138888888889
"130","z0045371","Default",285,3,0.0104166666666667,0.527777777777778
"131","z0045398","Default",285,3,0.0104166666666667,0.548611111111111
"132","z0045399","Default",284,4,0.0138888888888889,0.569444444444444
"133","z0045401","Default",221,67,0.232638888888889,0.4375
"134","z0045404","Default",288,0,0,0.520833333333333
"135","z0045405","Default",277,11,0.0381944444444444,0.5
"136","z0045407","Default",284,4,0.0138888888888889,0.524305555555556
"137","z0045719","Default",288,0,0,0.517361111111111
"138","z0045720","Default",286,2,0.00694444444444444,0.506944444444444
"139","z0045728","Default",287,1,0.00347222222222222,0.559027777777778
"140","z0045731","Default",287,1,0.00347222222222222,0.559027777777778
"141","z0045733","Default",287,1,0.00347222222222222,0.534722222222222
"142","z0045736","Default",286,2,0.00694444444444444,0.513888888888889
"143","z0045739","Default",285,3,0.0104166666666667,0.555555555555556
"144","z0045740","Default",285,3,0.0104166666666667,0.517361111111111
"145","z0045741","Default",288,0,0,0.534722222222222
"146","z0045742","Default",287,1,0.00347222222222222,0.545138888888889
"147","z0045776","Default",288,0,0,0.576388888888889
"148","z0045779","Default",288,0,0,0.565972222222222
"149","z0045781","Default",288,0,0,0.579861111111111
"150","z0045788","Default",272,16,0.0555555555555556,0.517361111111111
"151","z0045789","Default",281,7,0.0243055555555556,0.541666666666667
"152","z0045791","Default",274,14,0.0486111111111111,0.5
"153","z0045792","Default",222,66,0.229166666666667,0.451388888888889
"154","z0045793","Default",288,0,0,0.552083333333333
"155","z0047562","Default",247,41,0.142361111111111,0.451388888888889
"156","z0047854","Default",286,2,0.00694444444444444,0.510416666666667
"157","z0049019","Default",284,4,0.0138888888888889,0.520833333333333
"158","z0049020","Default",286,2,0.00694444444444444,0.548611111111111
"159","z0051185","Default",288,0,0,0.565972222222222
"160","z0051324","Default",287,1,0.00347222222222222,0.534722222222222
"161","z0051327","Default",279,9,0.03125,0.503472222222222
"162","z0051328","Default",284,4,0.0138888888888889,0.579861111111111
"163","z0051380","Default",287,1,0.00347222222222222,0.565972222222222
"164","z0051400","Default",287,1,0.00347222222222222,0.565972222222222
"165","z0051402","Default",288,0,0,0.59375
"166","z0051404","Default",266,22,0.0763888888888889,0.486111111111111
"167","z0051405","Default",287,1,0.00347222222222222,0.527777777777778
"168","z0051431","Default",226,62,0.215277777777778,0.413194444444444
"169","z0051808","Default",280,8,0.0277777777777778,0.517361111111111
"170","z0051840","Default",191,97,0.336805555555556,0.302083333333333
"171","z0051844","Default",209,79,0.274305555555556,0.420138888888889
"172","z0051875","Default",207,81,0.28125,0.399305555555556
"173","z0051885","Default",267,21,0.0729166666666667,0.534722222222222
"174","z0051888","Default",287,1,0.00347222222222222,0.5
"175","z0051891","Default",286,2,0.00694444444444444,0.552083333333333
