"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3","num.alleles.pos4","num.alleles.pos5"
"191","Mnov_gtseq_378",191,7,2,2,2,1,1
"192","Mnov_gtseq_379",189,3,2,1,1,1,1
"193","Mnov_gtseq_38",189,3,2,1,1,1,1
"194","Mnov_gtseq_380",165,3,2,1,1,1,1
"195","Mnov_gtseq_383",163,3,2,1,1,1,1
"196","Mnov_gtseq_384",190,3,2,1,1,1,1
"197","Mnov_gtseq_386",152,3,2,1,1,1,1
"198","Mnov_gtseq_388",126,3,2,1,1,1,1
"199","Mnov_gtseq_39",191,3,2,1,1,1,1
"200","Mnov_gtseq_390",175,3,2,2,1,1,1
"201","Mnov_gtseq_394",191,3,2,2,1,1,1
"202","Mnov_gtseq_397",191,3,2,1,1,1,1
"203","Mnov_gtseq_398",187,5,2,2,1,1,1
"204","Mnov_gtseq_399",190,3,2,2,2,1,1
"205","Mnov_gtseq_40",188,3,2,1,1,1,1
"206","Mnov_gtseq_400",152,3,2,1,1,1,1
"207","Mnov_gtseq_401",184,6,2,2,1,1,1
"208","Mnov_gtseq_402",181,3,2,1,1,1,1
"209","Mnov_gtseq_405",190,6,2,2,2,1,1
"210","Mnov_gtseq_406",154,3,2,2,1,1,1
"211","Mnov_gtseq_407",183,6,2,2,1,1,1
"212","Mnov_gtseq_41",177,3,2,1,1,1,1
"213","Mnov_gtseq_410",181,3,2,2,1,1,1
"214","Mnov_gtseq_413",191,2,2,2,1,1,1
"215","Mnov_gtseq_415",179,3,2,1,1,1,1
"216","Mnov_gtseq_416",110,3,2,1,1,1,1
"217","Mnov_gtseq_417",136,3,2,2,2,1,1
"218","Mnov_gtseq_42",191,3,2,1,1,1,1
"219","Mnov_gtseq_420",141,3,2,1,1,1,1
"220","Mnov_gtseq_421",161,6,2,2,3,1,1
"221","Mnov_gtseq_426",191,2,2,1,1,1,1
"222","Mnov_gtseq_43",190,3,2,1,1,1,1
"223","Mnov_gtseq_431",136,3,2,1,1,1,1
"224","Mnov_gtseq_434",191,3,2,2,1,1,1
"225","Mnov_gtseq_437",179,5,2,2,1,1,1
"226","Mnov_gtseq_438",131,3,2,1,1,1,1
"227","Mnov_gtseq_44",128,3,1,2,1,1,1
"228","Mnov_gtseq_440",184,6,2,2,2,1,1
"229","Mnov_gtseq_441",190,3,2,2,1,1,1
"230","Mnov_gtseq_442",69,3,2,1,1,1,1
"231","Mnov_gtseq_444",185,5,2,2,1,1,1
"232","Mnov_gtseq_445",190,3,2,1,1,1,1
"233","Mnov_gtseq_446",182,3,2,1,1,1,1
"234","Mnov_gtseq_447",184,3,2,1,1,1,1
"235","Mnov_gtseq_448",155,3,2,1,1,1,1
"236","Mnov_gtseq_45",179,3,2,1,1,1,1
"237","Mnov_gtseq_451",190,6,2,2,1,1,1
"238","Mnov_gtseq_452",186,7,3,2,1,1,1
"239","Mnov_gtseq_454",172,3,2,1,1,1,1
"240","Mnov_gtseq_46",185,6,2,2,1,1,1
"241","Mnov_gtseq_463",164,6,2,2,2,1,1
"242","Mnov_gtseq_465",134,3,1,2,1,1,1
"243","Mnov_gtseq_468",191,3,2,1,1,1,1
"244","Mnov_gtseq_47",185,3,2,1,1,1,1
"245","Mnov_gtseq_470",191,3,2,2,1,1,1
"246","Mnov_gtseq_471",115,2,2,2,1,1,1
"247","Mnov_gtseq_472",180,3,2,1,1,1,1
"248","Mnov_gtseq_473",182,6,2,2,2,2,1
"249","Mnov_gtseq_475",190,26,2,2,2,2,2
"250","Mnov_gtseq_478",188,3,2,1,1,1,1
"251","Mnov_gtseq_479",191,3,2,2,1,1,1
"252","Mnov_gtseq_48",184,3,2,1,1,1,1
"253","Mnov_gtseq_50",189,9,2,2,2,1,1
"254","Mnov_gtseq_502",170,3,2,1,1,1,1
"255","Mnov_gtseq_504",189,4,2,2,1,1,1
"256","Mnov_gtseq_506",189,3,2,1,1,1,1
"257","Mnov_gtseq_507",187,3,2,1,1,1,1
"258","Mnov_gtseq_509",157,3,2,1,1,1,1
"259","Mnov_gtseq_51",172,3,2,1,1,1,1
"260","Mnov_gtseq_511",148,3,2,1,1,1,1
"261","Mnov_gtseq_513",191,3,2,1,1,1,1
"262","Mnov_gtseq_514",187,5,2,2,1,1,1
"263","Mnov_gtseq_515",170,6,2,2,1,1,1
"264","Mnov_gtseq_517",151,3,2,1,1,1,1
"265","Mnov_gtseq_518",190,6,2,2,1,1,1
"266","Mnov_gtseq_521",175,3,2,1,1,1,1
"267","Mnov_gtseq_522",187,3,2,1,1,1,1
"268","Mnov_gtseq_523",187,3,2,1,1,1,1
"269","Mnov_gtseq_526",102,3,2,1,1,1,1
"270","Mnov_gtseq_529",108,3,2,1,1,1,1
"271","Mnov_gtseq_53",191,3,2,1,1,1,1
"272","Mnov_gtseq_532",152,14,2,2,2,1,1
"273","Mnov_gtseq_533",191,3,2,1,1,1,1
"274","Mnov_gtseq_536",102,6,2,2,1,1,1
"275","Mnov_gtseq_539",168,3,2,1,1,1,1
"276","Mnov_gtseq_54",191,3,2,1,1,1,1
"277","Mnov_gtseq_541",190,3,2,1,1,1,1
"278","Mnov_gtseq_543",190,5,2,2,1,1,1
"279","Mnov_gtseq_544",190,3,2,1,1,1,1
"280","Mnov_gtseq_545",183,3,2,1,1,1,1
"281","Mnov_gtseq_546",173,8,2,2,2,1,1
"282","Mnov_gtseq_547",190,3,2,1,1,1,1
"283","Mnov_gtseq_548",188,3,2,1,1,1,1
"284","Mnov_gtseq_549",176,6,2,2,1,1,1
"285","Mnov_gtseq_55",173,9,2,2,2,2,2
"286","Mnov_gtseq_550",118,3,2,1,1,1,1
"287","Mnov_gtseq_553",118,3,2,1,1,1,1
"288","Mnov_gtseq_56",187,3,1,2,1,1,1
"289","Mnov_gtseq_57",190,6,2,2,2,1,1
"290","Mnov_gtseq_58",153,6,2,2,1,1,1
"291","Mnov_gtseq_6",165,3,2,1,1,1,1
"292","Mnov_gtseq_60",190,3,2,1,1,1,1
"293","Mnov_gtseq_61",191,6,2,2,1,1,1
"294","Mnov_gtseq_63",183,3,2,1,1,1,1
"295","Mnov_gtseq_64",191,8,2,2,1,1,1
"296","Mnov_gtseq_65",191,3,2,1,1,1,1
"297","Mnov_gtseq_66",191,3,2,1,1,1,1
"298","Mnov_gtseq_67",191,3,2,1,1,1,1
"299","Mnov_gtseq_68",178,5,2,2,1,1,1
"300","Mnov_gtseq_69",191,3,2,1,1,1,1
"301","Mnov_gtseq_70",190,3,2,1,1,1,1
"302","Mnov_gtseq_71",191,6,2,2,1,1,1
"303","Mnov_gtseq_72",190,6,2,2,1,1,1
"304","Mnov_gtseq_73",190,3,2,1,1,1,1
"305","Mnov_gtseq_74",191,4,2,2,1,1,1
"306","Mnov_gtseq_75",191,6,3,1,1,1,1
"307","Mnov_gtseq_79",157,3,2,1,1,1,1
"308","Mnov_gtseq_8",177,3,2,1,1,1,1
"309","Mnov_gtseq_80",182,3,2,1,1,1,1
"310","Mnov_gtseq_81",171,3,2,1,1,1,1
"311","Mnov_gtseq_82",191,5,2,2,1,1,1
"312","Mnov_gtseq_83",191,3,2,1,1,1,1
"313","Mnov_gtseq_84",191,6,2,2,1,1,1
"314","Mnov_gtseq_86",191,3,2,2,1,1,1
"315","Mnov_gtseq_88",173,3,2,1,1,1,1
"316","Mnov_gtseq_90",191,3,2,1,1,1,1
"317","Mnov_gtseq_91",189,3,2,1,1,1,1
"318","Mnov_gtseq_92",178,6,2,2,1,1,1
"319","Mnov_gtseq_93",190,3,2,1,1,1,1
"320","Mnov_gtseq_94",178,3,2,1,1,1,1
"321","Mnov_gtseq_97",188,6,2,2,1,1,1
"322","Mnov_gtseq_98",190,4,2,2,1,1,1
