"","locus","genos","num.haps"
"261","Mnov_gtseq_475",18,2
"262","Mnov_gtseq_477",19,3
"263","Mnov_gtseq_478",17,3
"264","Mnov_gtseq_479",18,3
"265","Mnov_gtseq_48",16,3
"266","Mnov_gtseq_50",18,3
"267","Mnov_gtseq_502",15,3
"268","Mnov_gtseq_504",18,3
"269","Mnov_gtseq_506",9,3
"270","Mnov_gtseq_507",16,3
"271","Mnov_gtseq_509",12,3
"272","Mnov_gtseq_51",14,3
"273","Mnov_gtseq_511",12,3
"274","Mnov_gtseq_513",19,3
"275","Mnov_gtseq_514",13,3
"276","Mnov_gtseq_515",7,2
"277","Mnov_gtseq_516",0,0
"278","Mnov_gtseq_517",12,3
"279","Mnov_gtseq_518",19,3
"280","Mnov_gtseq_520",14,3
"281","Mnov_gtseq_521",12,3
"282","Mnov_gtseq_522",14,3
"283","Mnov_gtseq_523",18,3
"284","Mnov_gtseq_526",2,2
"285","Mnov_gtseq_529",4,2
"286","Mnov_gtseq_53",17,3
"287","Mnov_gtseq_532",14,3
"288","Mnov_gtseq_533",17,3
"289","Mnov_gtseq_536",1,1
"290","Mnov_gtseq_539",17,3
"291","Mnov_gtseq_54",18,2
"292","Mnov_gtseq_541",19,3
"293","Mnov_gtseq_543",18,3
"294","Mnov_gtseq_544",18,3
"295","Mnov_gtseq_545",16,3
"296","Mnov_gtseq_546",4,3
"297","Mnov_gtseq_547",19,3
"298","Mnov_gtseq_548",16,3
"299","Mnov_gtseq_549",17,1
"300","Mnov_gtseq_55",16,3
"301","Mnov_gtseq_550",5,2
"302","Mnov_gtseq_553",2,2
"303","Mnov_gtseq_56",17,3
"304","Mnov_gtseq_57",18,2
"305","Mnov_gtseq_58",14,3
"306","Mnov_gtseq_6",14,2
"307","Mnov_gtseq_60",18,3
"308","Mnov_gtseq_61",19,3
"309","Mnov_gtseq_63",16,3
"310","Mnov_gtseq_64",18,3
"311","Mnov_gtseq_65",19,3
"312","Mnov_gtseq_66",19,3
"313","Mnov_gtseq_67",19,3
"314","Mnov_gtseq_68",15,3
"315","Mnov_gtseq_69",19,3
"316","Mnov_gtseq_71",18,3
"317","Mnov_gtseq_72",18,3
"318","Mnov_gtseq_73",19,2
"319","Mnov_gtseq_74",19,3
"320","Mnov_gtseq_75",18,5
"321","Mnov_gtseq_8",16,3
"322","Mnov_gtseq_80",15,3
"323","Mnov_gtseq_81",17,3
"324","Mnov_gtseq_82",18,3
"325","Mnov_gtseq_83",19,3
"326","Mnov_gtseq_84",18,3
"327","Mnov_gtseq_88",16,3
"328","Mnov_gtseq_90",19,3
"329","Mnov_gtseq_91",18,3
"330","Mnov_gtseq_92",17,3
"331","Mnov_gtseq_93",16,3
"332","Mnov_gtseq_94",17,3
"333","Mnov_gtseq_97",18,3
"334","Mnov_gtseq_98",18,3
