"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3","num.alleles.pos4","num.alleles.pos5"
"190","Mnov_gtseq_377",517,3,2,1,1,1,1
"191","Mnov_gtseq_378",538,9,2,2,2,1,1
"192","Mnov_gtseq_379",540,3,2,1,1,1,1
"193","Mnov_gtseq_38",546,3,2,1,1,1,1
"194","Mnov_gtseq_380",532,3,2,1,1,1,1
"195","Mnov_gtseq_383",516,3,2,1,1,1,1
"196","Mnov_gtseq_384",506,3,2,1,1,1,1
"197","Mnov_gtseq_386",473,3,2,1,1,1,1
"198","Mnov_gtseq_388",386,3,2,1,1,1,1
"199","Mnov_gtseq_39",543,3,2,1,1,1,1
"200","Mnov_gtseq_390",518,4,2,2,1,1,1
"201","Mnov_gtseq_394",527,3,2,2,1,1,1
"202","Mnov_gtseq_397",526,3,2,1,1,1,1
"203","Mnov_gtseq_398",537,6,2,2,1,1,1
"204","Mnov_gtseq_399",544,4,2,2,2,1,1
"205","Mnov_gtseq_40",543,3,2,1,1,1,1
"206","Mnov_gtseq_400",479,3,2,1,1,1,1
"207","Mnov_gtseq_401",534,6,2,2,1,1,1
"208","Mnov_gtseq_402",536,3,2,1,1,1,1
"209","Mnov_gtseq_405",527,6,2,2,2,1,1
"210","Mnov_gtseq_406",515,4,2,2,1,1,1
"211","Mnov_gtseq_407",504,6,2,2,1,1,1
"212","Mnov_gtseq_41",532,3,2,1,1,1,1
"213","Mnov_gtseq_410",523,4,2,2,1,1,1
"214","Mnov_gtseq_413",546,4,2,2,1,1,1
"215","Mnov_gtseq_415",538,3,2,1,1,1,1
"216","Mnov_gtseq_416",304,3,2,1,1,1,1
"217","Mnov_gtseq_417",416,4,2,2,2,1,1
"218","Mnov_gtseq_42",546,3,2,1,1,1,1
"219","Mnov_gtseq_420",392,3,2,1,1,1,1
"220","Mnov_gtseq_421",463,7,2,2,3,1,1
"221","Mnov_gtseq_426",540,2,2,1,1,1,1
"222","Mnov_gtseq_43",546,3,2,1,1,1,1
"223","Mnov_gtseq_431",467,3,2,1,1,1,1
"224","Mnov_gtseq_434",546,3,2,2,1,1,1
"225","Mnov_gtseq_437",524,5,2,2,1,1,1
"226","Mnov_gtseq_438",435,3,2,1,1,1,1
"227","Mnov_gtseq_44",452,4,2,2,1,1,1
"228","Mnov_gtseq_440",542,9,2,2,2,1,1
"229","Mnov_gtseq_441",541,4,2,2,1,1,1
"230","Mnov_gtseq_442",307,3,2,1,1,1,1
"231","Mnov_gtseq_444",528,5,2,2,1,1,1
"232","Mnov_gtseq_445",518,3,2,1,1,1,1
"233","Mnov_gtseq_446",534,3,2,1,1,1,1
"234","Mnov_gtseq_447",540,3,2,1,1,1,1
"235","Mnov_gtseq_448",522,3,2,1,1,1,1
"236","Mnov_gtseq_45",541,3,2,1,1,1,1
"237","Mnov_gtseq_451",546,7,2,2,1,1,1
"238","Mnov_gtseq_452",539,7,3,2,1,1,1
"239","Mnov_gtseq_454",497,3,2,1,1,1,1
"240","Mnov_gtseq_46",545,6,2,2,1,1,1
"241","Mnov_gtseq_463",525,7,2,2,2,1,1
"242","Mnov_gtseq_465",397,3,1,2,1,1,1
