"","locus","genos","num.haps"
"228","Mnov_gtseq_416",91,2
"229","Mnov_gtseq_417",18,3
"230","Mnov_gtseq_42",129,3
"231","Mnov_gtseq_420",20,3
"232","Mnov_gtseq_421",55,6
"233","Mnov_gtseq_424",120,3
"234","Mnov_gtseq_426",132,2
"235","Mnov_gtseq_43",130,3
"236","Mnov_gtseq_431",90,3
"237","Mnov_gtseq_434",130,3
"238","Mnov_gtseq_438",33,3
"239","Mnov_gtseq_44",35,3
"240","Mnov_gtseq_440",117,3
"241","Mnov_gtseq_441",116,3
"242","Mnov_gtseq_442",8,3
"243","Mnov_gtseq_444",92,3
"244","Mnov_gtseq_445",95,3
"245","Mnov_gtseq_446",117,3
"246","Mnov_gtseq_447",123,3
"247","Mnov_gtseq_448",76,3
"248","Mnov_gtseq_45",111,3
"249","Mnov_gtseq_451",130,3
"250","Mnov_gtseq_452",109,3
"251","Mnov_gtseq_454",65,3
"252","Mnov_gtseq_46",113,3
"253","Mnov_gtseq_461",108,3
"254","Mnov_gtseq_462",68,3
"255","Mnov_gtseq_463",94,3
"256","Mnov_gtseq_465",29,3
"257","Mnov_gtseq_468",127,3
"258","Mnov_gtseq_47",108,3
"259","Mnov_gtseq_470",119,3
"260","Mnov_gtseq_471",31,2
"261","Mnov_gtseq_472",95,3
"262","Mnov_gtseq_473",111,3
"263","Mnov_gtseq_475",131,3
"264","Mnov_gtseq_477",91,3
"265","Mnov_gtseq_478",86,3
"266","Mnov_gtseq_479",129,3
"267","Mnov_gtseq_48",116,3
"268","Mnov_gtseq_50",126,3
"269","Mnov_gtseq_502",77,3
"270","Mnov_gtseq_504",121,3
"271","Mnov_gtseq_506",78,3
"272","Mnov_gtseq_507",118,3
"273","Mnov_gtseq_509",53,3
"274","Mnov_gtseq_51",100,3
"275","Mnov_gtseq_511",41,3
"276","Mnov_gtseq_513",110,3
"277","Mnov_gtseq_514",122,3
"278","Mnov_gtseq_515",97,3
"279","Mnov_gtseq_516",6,3
"280","Mnov_gtseq_517",84,3
"281","Mnov_gtseq_518",130,3
"282","Mnov_gtseq_520",93,3
"283","Mnov_gtseq_521",66,3
"284","Mnov_gtseq_522",114,3
"285","Mnov_gtseq_523",123,3
"286","Mnov_gtseq_526",47,3
"287","Mnov_gtseq_529",25,3
"288","Mnov_gtseq_53",128,3
"289","Mnov_gtseq_532",53,3
"290","Mnov_gtseq_533",117,3
"291","Mnov_gtseq_536",20,3
"292","Mnov_gtseq_539",86,3
"293","Mnov_gtseq_54",127,3
"294","Mnov_gtseq_541",129,3
"295","Mnov_gtseq_543",126,3
"296","Mnov_gtseq_544",128,3
"297","Mnov_gtseq_545",106,3
"298","Mnov_gtseq_546",92,3
"299","Mnov_gtseq_547",128,3
"300","Mnov_gtseq_548",110,3
"301","Mnov_gtseq_549",104,3
"302","Mnov_gtseq_55",104,3
"303","Mnov_gtseq_550",17,2
"304","Mnov_gtseq_553",37,2
"305","Mnov_gtseq_56",114,3
"306","Mnov_gtseq_57",105,3
"307","Mnov_gtseq_58",75,3
"308","Mnov_gtseq_6",94,3
"309","Mnov_gtseq_60",117,3
"310","Mnov_gtseq_61",131,3
"311","Mnov_gtseq_63",109,3
"312","Mnov_gtseq_64",129,3
"313","Mnov_gtseq_65",128,3
"314","Mnov_gtseq_66",123,3
"315","Mnov_gtseq_67",128,3
"316","Mnov_gtseq_68",111,3
"317","Mnov_gtseq_69",128,3
"318","Mnov_gtseq_70",121,3
"319","Mnov_gtseq_71",122,3
"320","Mnov_gtseq_72",130,3
"321","Mnov_gtseq_73",128,3
"322","Mnov_gtseq_74",131,2
"323","Mnov_gtseq_75",126,6
"324","Mnov_gtseq_8",97,3
"325","Mnov_gtseq_80",112,3
"326","Mnov_gtseq_81",92,3
"327","Mnov_gtseq_82",126,3
"328","Mnov_gtseq_83",129,3
"329","Mnov_gtseq_84",130,3
"330","Mnov_gtseq_86",131,3
"331","Mnov_gtseq_88",101,3
"332","Mnov_gtseq_90",130,3
"333","Mnov_gtseq_91",119,3
"334","Mnov_gtseq_92",101,3
"335","Mnov_gtseq_93",122,3
"336","Mnov_gtseq_94",111,3
"337","Mnov_gtseq_97",107,3
"338","Mnov_gtseq_98",125,3
