"","LABID","Rep1","Rep2","overlapping.genos","mismatches","pct.mismatched"
"965","z0043693","z0043693.GTseq.prod","z0043693.RunMS54",0,0,NA
"966","z0043693","z0043693.GTseq.prod","z0043693.RunMS58",269,1,0.00371747211895911
"967","z0043693","z0043693.RunMS54","z0043693.RunMS58",0,0,NA
"968","z0040387","z0040387.GTseq.prod","z0040387.RunMS54",0,0,NA
"969","z0040387","z0040387.GTseq.prod","z0040387.RunMS58",177,1,0.00564971751412429
"970","z0040387","z0040387.RunMS54","z0040387.RunMS58",0,0,NA
"971","z0041519","z0041519.GTseq.prod","z0041519.RunMS54",0,0,NA
"972","z0041519","z0041519.GTseq.prod","z0041519.RunMS58",269,2,0.00743494423791822
"973","z0041519","z0041519.RunMS54","z0041519.RunMS58",0,0,NA
"974","z0056064","z0056064.GTseq.prod","z0056064.RunMS54",0,0,NA
"975","z0056064","z0056064.GTseq.prod","z0056064.RunMS58",224,4,0.0178571428571429
"976","z0056064","z0056064.RunMS54","z0056064.RunMS58",0,0,NA
"977","z0051328","z0051328.RunMS51","z0051328.RunMS58",65,1,0.0153846153846154
