"","locus","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"65","Mnov_gtseq_21",537,0,1,2,0.0037243947858473,0,0.500216070433755,0.515828677839851,1
"66","Mnov_gtseq_210",512,25,0.953445065176909,2,0.00390625,0,0.467724752565982,0.422718808193669,1
"67","Mnov_gtseq_211",532,5,0.990689013035382,2,0.0037593984962406,0,0.481710508632824,0.4487895716946,1
"68","Mnov_gtseq_213",512,25,0.953445065176909,2,0.00390625,0,0.500486849340176,0.463687150837989,1
"69","Mnov_gtseq_214",510,27,0.949720670391061,2,0.00392156862745098,0,0.48937635898324,0.487895716945996,1
"70","Mnov_gtseq_215",537,0,1,2,0.0037243947858473,0,0.498216768106963,0.504655493482309,1
"71","Mnov_gtseq_216",536,1,0.998137802607076,3,0.00559701492537313,0.00186567164179104,0.503663405660772,0.471135940409683,2
"72","Mnov_gtseq_217",409,128,0.761638733705773,2,0.00488997555012225,0,0.419137341277798,0.342644320297952,1
"73","Mnov_gtseq_218",535,2,0.996275605214153,2,0.00373831775700935,0,0.467169072327181,0.437616387337058,1
"74","Mnov_gtseq_22",521,16,0.970204841713222,4,0.00767754318618042,0,0.5963500325429,0.582867783985102,3
"75","Mnov_gtseq_220",537,0,1,3,0.00558659217877095,0,0.530750554060128,0.517690875232775,2
"76","Mnov_gtseq_223",526,11,0.97951582867784,2,0.00380228136882129,0,0.443805103233205,0.456238361266294,1
"77","Mnov_gtseq_224",535,2,0.996275605214153,3,0.00560747663551402,0,0.400438876406459,0.379888268156425,2
"78","Mnov_gtseq_225",537,0,1,2,0.0037243947858473,0,0.50012582414817,0.500931098696462,1
"79","Mnov_gtseq_227",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.495756511559848,0.513966480446927,1
"80","Mnov_gtseq_229",532,5,0.990689013035382,2,0.0037593984962406,0,0.490256685929311,0.491620111731844,1
"81","Mnov_gtseq_232",537,0,1,2,0.0037243947858473,0,0.500216070433755,0.493482309124767,1
"82","Mnov_gtseq_234",494,43,0.919925512104283,2,0.00404858299595142,0,0.358644155396675,0.329608938547486,1
"83","Mnov_gtseq_235",537,0,1,2,0.0037243947858473,0,0.305698879384104,0.290502793296089,1
"84","Mnov_gtseq_238",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.475798528366571,0.415270018621974,1
"85","Mnov_gtseq_239",537,0,1,2,0.0037243947858473,0,0.38937801218672,0.383612662942272,1
"86","Mnov_gtseq_241",537,0,1,2,0.0037243947858473,0,0.232418895489595,0.249534450651769,1
"87","Mnov_gtseq_243",537,0,1,2,0.0037243947858473,0,0.4820540054599,0.484171322160149,1
"88","Mnov_gtseq_244",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.451300918377301,0.476722532588454,1
"89","Mnov_gtseq_245",436,101,0.811918063314711,2,0.00458715596330275,0,0.498654399140501,0.389199255121043,1
"90","Mnov_gtseq_246",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.493984907395794,0.463687150837989,1
"91","Mnov_gtseq_247",518,19,0.964618249534451,2,0.00386100386100386,0,0.400953127040084,0.35195530726257,1
"92","Mnov_gtseq_248",531,6,0.988826815642458,2,0.00376647834274953,0,0.375824249943645,0.342644320297952,1
"93","Mnov_gtseq_25",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.498569825940326,0.4487895716946,1
"94","Mnov_gtseq_250",516,21,0.960893854748603,2,0.00387596899224806,0,0.344574019353529,0.33147113594041,1
"95","Mnov_gtseq_251",530,7,0.986964618249534,2,0.00377358490566038,0,0.340121510146632,0.338919925512104,1
"96","Mnov_gtseq_253",456,81,0.849162011173184,2,0.0043859649122807,0,0.499768906349298,0.435754189944134,1
